date,precip_mm,temp_c,flow_m3s,enso_mei,pdo_index,aao_index,swe_mm,flow_source,precip_lag1,precip_lag2,month_sin,month_cos
1960-01-01,0.0,22.731930604906022,,0.0306125351562147,0.24,0.0567013483931042,,missing,,,0.49999999999999994,0.8660254037844387
1960-02-01,99.2153258571471,24.167774619269743,,-0.2102049398892169,0.61,0.3310802176818423,,missing,0.0,,0.8660254037844386,0.5000000000000001
1960-03-01,132.30700143217152,19.664463239277293,16.36126250015684,-0.2236053783403649,0.23,-0.2617808935382636,,era5_regression,99.2153258571471,0.0,1.0,6.123233995736766e-17
1960-04-01,39.75421293707028,15.315533417127485,48.18957839281421,-0.0497486568121913,0.21,-0.7092649195080221,,era5_regression,132.30700143217152,99.2153258571471,0.8660254037844387,-0.4999999999999998
1960-05-01,96.59281605100476,6.157841101378865,153.00952623572041,0.2149527671200642,0.35,0.166459185530194,,era5_regression,39.75421293707028,132.30700143217152,0.49999999999999994,-0.8660254037844387
1960-06-01,120.84901747977544,8.611047091305007,186.0184540806692,-0.1666314317086751,1.2,0.4733226512660267,,era5_regression,96.59281605100476,39.75421293707028,1.2246467991473532e-16,-1.0
1960-07-01,312.93918457562773,8.958383502586079,143.7589594195059,-0.2503186592900921,-0.42,0.5237041770156639,,era5_regression,120.84901747977544,96.59281605100476,-0.4999999999999997,-0.8660254037844388
1960-08-01,210.98193919173409,6.357564889332711,85.77211279641102,-0.3677703867093697,-0.31,-0.0755356577153806,,era5_regression,312.93918457562773,120.84901747977544,-0.8660254037844384,-0.5000000000000004
1960-09-01,167.3838901787633,9.5282954594449,60.799048106660734,-0.5269921178105463,-0.96,-0.6580390550949932,,era5_regression,210.98193919173409,312.93918457562773,-1.0,-1.8369701987210297e-16
1960-10-01,147.7735818327325,14.572078810643912,59.01703104105974,0.0553433660548373,-0.34,0.4992660132510926,,era5_regression,167.3838901787633,210.98193919173409,-0.8660254037844386,0.5000000000000001
1960-11-01,21.82981529252188,22.88195586153776,31.079040921084953,0.1713035427376402,-0.34,0.4009977319660536,,era5_regression,147.7735818327325,167.3838901787633,-0.5000000000000004,0.8660254037844384
1960-12-01,24.3813863475451,19.833588919867303,59.98016279313225,-0.2240919978366372,0.0,-0.9190469174661362,,era5_regression,21.82981529252188,147.7735818327325,-2.4492935982947064e-16,1.0
1961-01-01,0.0,27.72350748540884,40.25583510315121,0.0736757860634592,0.89,0.948829262538173,,era5_regression,24.3813863475451,21.82981529252188,0.49999999999999994,0.8660254037844387
1961-02-01,63.66975565624942,21.334023512927352,50.134060120886915,0.7029550665609032,0.92,0.7598298450972567,,era5_regression,0.0,24.3813863475451,0.8660254037844386,0.5000000000000001
1961-03-01,22.41747232890076,23.337555774586956,46.62970909535821,0.942399138070157,0.64,-0.041867029707487,,era5_regression,63.66975565624942,0.0,1.0,6.123233995736766e-17
1961-04-01,138.0428029889377,15.981608034729362,86.14171166285848,0.3923482344769373,0.28,-1.2542416943271149,,era5_regression,22.41747232890076,63.66975565624942,0.8660254037844387,-0.4999999999999998
1961-05-01,223.03051280504388,10.05578976977702,93.43830183248011,0.2078431891693681,-0.54,-1.2141378367226914,,era5_regression,138.0428029889377,22.41747232890076,0.49999999999999994,-0.8660254037844387
1961-06-01,200.74493145781156,4.203150119710672,92.79202681612998,0.5671322150084182,-0.7,0.4344547233627522,,era5_regression,223.03051280504388,138.0428029889377,1.2246467991473532e-16,-1.0
1961-07-01,261.2832425270656,0.5925011543842604,110.2124379659092,0.2981181538219422,-1.23,-0.5254447021506891,,era5_regression,200.74493145781156,223.03051280504388,-0.4999999999999997,-0.8660254037844388
1961-08-01,146.1118627877326,2.4087879812130524,117.01686745226863,0.4014521668836165,-0.87,-0.2741063563225838,,era5_regression,261.2832425270656,200.74493145781156,-0.8660254037844384,-0.5000000000000004
1961-09-01,110.47481918486342,8.571592385410515,124.20487726997395,0.5936971662240559,-1.34,-1.128888725827337,,era5_regression,146.1118627877326,261.2832425270656,-1.0,-1.8369701987210297e-16
1961-10-01,130.99359105156898,17.31023549629108,99.74715902033552,0.2562483081282254,-1.78,0.8232602510314102,,era5_regression,110.47481918486342,146.1118627877326,-0.8660254037844386,0.5000000000000001
1961-11-01,59.35404349378626,18.461821466053795,62.582927050791454,0.2127658704968629,-1.43,-1.8917886463852152,,era5_regression,130.99359105156898,110.47481918486342,-0.5000000000000004,0.8660254037844384
